alley_1_x;alley_2_x;alley_3_x;alley_4_x;alley_5_x
346.1;379.5;372.14;334.16;318.08
353.9;381.95;365.84;327.86;320.52
353.9;363.65;354.54;339.14;338.75
346.1;361.23;360.82;345.46;336.35
