alley_1_y;alley_2_y;alley_3_y;alley_4_y;alley_5_y
382.3;363.66;326.16;321.56;356.3
382.3;356.3;321.57;326.16;363.66
363.06;350.32;337.11;341.7;357.79
363.06;357.79;341.7;337.11;350.32
