landmarkName,landmarkNum,X,Y
LM_B_Forest-House,1,402,418.2
LM_D_Mountain,2,440.7,324.5
LM_F_Forest,3,350,270
LM_H_Mountain-House,4,264.2,325
LM_J_Tower,5,304.3,424.3
