landmarkName,landmarkNum,X,Y
Goal_A,1,351.2,368.4
Goal_C,2,371.9,356.9
Goal_I,3,321.7,358.1
LM_B_Forest-House,4,402,418.2
LM_D_Mountain,5,440.7,324.5
LM_F_Forest,6,350,270
LM_H_Mountain-House,7,264.2,325
LM_J_Tower,8,304.3,424.3
